time_s,ia_A,ib_A,ic_A,theta_e_rad
0.0114,5.072518188708132,-3.2195516068728676,-1.852966581835265,2.3467794940116176
0.0115,-0.5607202945450891,2.9512281929616426,-2.390507898416554,2.3445484534698955
0.011600000000000001,4.048714894933649,-3.191011270199392,-0.8577036247342575,2.341077601530358
0.0117,-1.460328261138387,2.96369245827029,-1.5033641971319032,2.337086563956748
0.0118,3.303804693786033,-3.216205207650265,-0.08759948613576807,2.3323496698139716
0.0119,-2.093765579813387,2.963895762991398,-0.870130183178011,2.327531799465522
0.012,2.8029871721502198,-3.209499262941729,0.40651209079150896,2.3222802575234938
0.012100000000000001,-2.5043477566683285,3.0036269677333998,-0.4992792110650712,2.3172227942544392
0.0122,2.5067370081456666,-3.1710768349993357,0.6643398268536691,2.3118914586684127
0.0123,-2.737249617576884,3.0767594447034616,-0.3395098271265775,2.306896362579106
0.012400000000000001,2.374001520245255,-3.1252319647022224,0.7512304444569673,2.30167491779524
0.0125,-2.835605567271445,3.163642433636806,-0.32803686636536056,2.2968359666938145
0.0126,2.3663991947911813,-3.094461356559184,0.7280621617680025,2.2917421191890313
0.012700000000000001,-2.8372659679014074,3.248612735665012,-0.4113467677636047,2.2870132498793323
0.0128,2.4510003293363622,-3.0917689495148064,0.6407686201784444,2.281952254888746
0.0129,-2.773220171168818,3.3243395192752736,-0.5511193481064558,2.2771991218911767
0.013000000000000001,2.601416712097282,-3.120894417829727,0.5194777057324453,2.2720063258059167
0.0131,-2.6674824814720832,3.3908254765299017,-0.7233429950578185,2.2670412322033124
0.0132,2.7976023113309565,-3.179023295571891,0.3814209842409344,2.2615095993850765
0.013300000000000001,-2.537929719665546,3.453003814477862,-0.9150740948123159,2.2561130365121937
0.0134,3.024869457356429,-3.2595177334867893,0.23464827613036054,2.2500092925047936
0.0135,-2.3976163094811134,3.518585088047632,-1.120968778566519,2.243941939888999
0.013600000000000001,3.2725315517261775,-3.3538259457066464,0.0812943939804689,2.2370150000421627
0.0137,-2.2562285760043075,3.5966355077381773,-1.3404069317338698,2.230023662805554
0.013800000000000002,3.5324483699472813,-3.4524803174678245,-0.07996805247945682,2.2220084828575404
0.013900000000000001,-2.121473777586572,3.6968607359574124,-1.5753869583708404,2.213828810103031
0.014,3.7976344972382816,-3.5453713303657537,-0.25226316687252814,2.2044481891975716
0.014100000000000001,-2.0002960449152924,3.829402024121939,-1.8291059792066466,2.194806441373328
0.0142,4.061016518513484,-3.621543673845775,-0.439472844667709,2.183772829919761
0.0143,-1.8998630561816356,4.004928419957319,-2.105065363775684,2.172388556453033
0.014400000000000001,4.314395045798214,-3.6687469684055904,-0.6456480773926239,2.1594076255549672
0.0145,-1.828276360810504,4.234826386691665,-2.4065500258811614,2.145998881808508
0.0146,4.32255407243208,-3.4478304816998273,-0.8747235907322528,2.1308468296440464
0.014700000000000001,-1.9633722374587719,4.64207763590128,-2.6787053984425073,2.1152848007702967
0.0148,4.117427826550063,-3.066000435690712,-1.0514273908593512,2.097921609046705
0.0149,-2.270904214238077,5.107547320602784,-2.8366431063647064,2.0802918469794833
0.015000000000000001,-7.205683911559012,9.662095020538555,-2.456411108979543,2.0643141843984307
0.0151,-0.8065949793890677,0.38731640111711274,0.4192785782719549,2.048701823269701
0.0152,-5.961088721454685,6.513777718853156,-0.5526889973984712,2.0350603463801122
0.015300000000000001,0.3970216975336612,-1.5366961725110577,1.1396744749773966,2.021554360889364
0.0154,-4.9177853936702185,5.332925194209421,-0.4151398005392024,2.0097576504239636
0.0155,1.4731754785979527,-2.324473097728513,0.8512976191305603,1.9975641269868014
0.015600000000000001,-4.02147675425698,4.967029817588196,-0.9455530633312161,1.9866422152781382
0.015700000000000002,2.4377848779960374,-2.6862710122091014,0.24848613421306398,1.9747325201145949
0.0158,-3.2742759985262637,4.932676947019447,-1.6584009484931834,1.9636580020849503
0.0159,3.2220535758445283,-2.838032922180873,-0.38402065366365545,1.9510668566083766
0.016,-2.726569197937177,5.076611458816291,-2.350042260879114,1.9389693742970808
0.0161,3.5976298192325133,-2.6639764976506854,-0.9336533215818278,1.9250212319607973
0.0162,-2.5366702714378073,5.3374188829887395,-2.8007486115509317,1.911454457714821
0.016300000000000002,3.6407778684229513,-2.417266394703945,-1.223511473719006,1.8959168445144425
0.0164,-2.6181152913327126,5.573528149647863,-2.9554128583151504,1.8808565955163343
0.0165,3.4733338998462364,-2.181140957323271,-1.2921929425229655,1.8638568413180012
0.0166,-2.8540271597331435,5.818582247788141,-2.9645550880549973,1.847549815895257
0.0167,3.1990045668019236,-1.937834125110635,-1.2611704416912886,1.829412007499376
0.016800000000000002,-3.151390688050983,6.078710158561,-2.9273194705100174,1.8122355648900392
0.016900000000000002,2.895380701655724,-1.6902258956103038,-1.2051548060454202,1.7933637825815367
0.017,-3.444331881112303,6.344987185310947,-2.9006553041986436,1.77573046596514
